"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2019","0.03202","0.03187","0.03211","0.03132","45.88M","0.45%"
"Nov 11, 2019","0.03187","0.03186","0.03307","0.03155","42.71M","0.04%"
"Nov 10, 2019","0.03186","0.03119","0.03199","0.03108","32.23M","2.17%"
"Nov 09, 2019","0.03119","0.03134","0.03168","0.03095","32.70M","-0.50%"
"Nov 08, 2019","0.03134","0.03241","0.03256","0.03070","38.66M","-3.29%"
"Nov 07, 2019","0.03241","0.03311","0.03338","0.03232","35.11M","-2.12%"
"Nov 06, 2019","0.03311","0.03314","0.03354","0.03288","48.68M","-0.06%"
"Nov 05, 2019","0.03313","0.03288","0.03385","0.03213","52.90M","0.77%"
"Nov 04, 2019","0.03288","0.03271","0.03306","0.03176","98.46M","0.52%"
"Nov 03, 2019","0.03271","0.03337","0.03359","0.03223","41.58M","-1.97%"
"Nov 02, 2019","0.03337","0.03312","0.03349","0.03291","39.13M","0.76%"
"Nov 01, 2019","0.03312","0.03363","0.03380","0.03220","42.62M","-1.78%"
"Oct 31, 2019","0.03372","0.03350","0.03418","0.03203","42.08M","0.66%"
"Oct 30, 2019","0.03350","0.03413","0.03442","0.03201","45.70M","-1.85%"
"Oct 29, 2019","0.03413","0.03361","0.03535","0.03330","44.55M","1.53%"
"Oct 28, 2019","0.03361","0.03420","0.03685","0.03331","67.89M","-1.71%"
"Oct 27, 2019","0.03420","0.02972","0.03600","0.02963","60.73M","15.08%"
"Oct 26, 2019","0.02972","0.02920","0.03079","0.02883","48.83M","1.79%"
"Oct 25, 2019","0.02920","0.02687","0.02982","0.02663","36.39M","8.66%"
"Oct 24, 2019","0.02687","0.02665","0.02731","0.02650","36.53M","0.82%"
"Oct 23, 2019","0.02665","0.02975","0.02988","0.02614","36.55M","-10.43%"
"Oct 22, 2019","0.02975","0.03021","0.03101","0.02964","33.40M","-1.52%"
"Oct 21, 2019","0.03021","0.03111","0.03145","0.02999","34.41M","-2.89%"
"Oct 20, 2019","0.03111","0.02995","0.03147","0.02938","35.84M","3.88%"
"Oct 19, 2019","0.02995","0.02939","0.02995","0.02900","43.57M","1.88%"
"Oct 18, 2019","0.02939","0.03055","0.03070","0.02914","26.75M","-3.79%"
"Oct 17, 2019","0.03055","0.02995","0.03062","0.02959","28.56M","2.05%"
"Oct 16, 2019","0.02994","0.03206","0.03210","0.02974","35.62M","-6.62%"
"Oct 15, 2019","0.03206","0.03121","0.03466","0.03121","39.83M","2.71%"
"Oct 14, 2019","0.03121","0.03178","0.03208","0.03098","30.83M","-1.77%"
"Oct 13, 2019","0.03178","0.03220","0.03259","0.03151","43.16M","-1.32%"
"Oct 12, 2019","0.03220","0.03171","0.03267","0.03171","37.89M","1.55%"
"Oct 11, 2019","0.03171","0.03264","0.03293","0.03168","41.96M","-2.84%"
"Oct 10, 2019","0.03264","0.03323","0.03354","0.03207","36.64M","-1.79%"
"Oct 09, 2019","0.03323","0.03356","0.03444","0.03270","46.75M","-0.98%"
"Oct 08, 2019","0.03356","0.03366","0.03413","0.03237","42.39M","-0.30%"
"Oct 07, 2019","0.03366","0.03237","0.03377","0.03203","40.88M","3.96%"
"Oct 06, 2019","0.03237","0.03422","0.03432","0.03201","39.95M","-5.39%"
"Oct 05, 2019","0.03422","0.03286","0.03462","0.03237","39.89M","4.14%"
"Oct 04, 2019","0.03286","0.03284","0.03329","0.03225","36.77M","0.10%"
"Oct 03, 2019","0.03283","0.03388","0.03390","0.03232","42.19M","-3.11%"
"Oct 02, 2019","0.03388","0.03335","0.03395","0.03133","46.48M","1.59%"
"Oct 01, 2019","0.03335","0.03267","0.03399","0.03267","43.95M","1.98%"
"Sep 30, 2019","0.03270","0.03226","0.03283","0.03052","44.32M","1.36%"
"Sep 29, 2019","0.03226","0.03445","0.03504","0.03189","44.49M","-6.34%"
"Sep 28, 2019","0.03445","0.03455","0.03542","0.03358","43.61M","-0.30%"
"Sep 27, 2019","0.03455","0.03429","0.03613","0.03367","48.45M","1.10%"
"Sep 26, 2019","0.03417","0.03328","0.03537","0.03217","58.45M","2.68%"
"Sep 25, 2019","0.03328","0.03166","0.03586","0.03124","55.30M","5.14%"
"Sep 24, 2019","0.03166","0.03615","0.03958","0.03073","63.44M","-12.32%"
"Sep 23, 2019","0.03610","0.03618","0.03668","0.03505","47.20M","-0.20%"
"Sep 22, 2019","0.03618","0.03665","0.03672","0.03520","46.92M","-1.29%"
"Sep 21, 2019","0.03665","0.03672","0.03710","0.03579","48.19M","-0.19%"
"Sep 20, 2019","0.03672","0.03803","0.03817","0.03622","44.10M","-3.12%"
"Sep 19, 2019","0.03790","0.03691","0.03858","0.03512","51.78M","2.69%"
"Sep 18, 2019","0.03691","0.03558","0.03715","0.03485","45.72M","3.73%"
"Sep 17, 2019","0.03558","0.03453","0.03581","0.03435","43.15M","3.04%"
"Sep 16, 2019","0.03453","0.03554","0.03669","0.03407","49.82M","-2.85%"
"Sep 15, 2019","0.03554","0.03401","0.03638","0.03391","47.22M","4.56%"
"Sep 14, 2019","0.03399","0.03360","0.03457","0.03309","43.25M","1.06%"
"Sep 13, 2019","0.03364","0.03395","0.03412","0.03307","39.73M","-0.92%"
"Sep 12, 2019","0.03395","0.03347","0.03399","0.03266","38.85M","1.45%"
"Sep 11, 2019","0.03347","0.03443","0.03544","0.03329","44.81M","-2.81%"
"Sep 10, 2019","0.03443","0.03404","0.03610","0.03404","47.85M","1.16%"
"Sep 09, 2019","0.03404","0.03486","0.03501","0.03345","42.92M","-2.35%"
"Sep 08, 2019","0.03486","0.03436","0.03518","0.03386","43.56M","1.48%"
"Sep 07, 2019","0.03435","0.03327","0.03494","0.03260","45.46M","3.24%"
"Sep 06, 2019","0.03327","0.03429","0.03486","0.03252","43.92M","-3.11%"
"Sep 05, 2019","0.03434","0.03452","0.03581","0.03296","46.46M","-0.52%"
"Sep 04, 2019","0.03452","0.03442","0.03580","0.03404","40.75M","0.29%"
"Sep 03, 2019","0.03442","0.03340","0.03507","0.03307","50.03M","3.21%"
"Sep 02, 2019","0.03335","0.03306","0.03490","0.03259","46.02M","0.84%"
"Sep 01, 2019","0.03307","0.03387","0.03398","0.03247","44.65M","-2.38%"
"Aug 31, 2019","0.03387","0.03278","0.03440","0.03265","41.03M","3.35%"
"Aug 30, 2019","0.03278","0.03220","0.03319","0.03188","41.75M","1.79%"
"Aug 29, 2019","0.03220","0.03423","0.03427","0.03177","47.56M","-6.04%"
"Aug 28, 2019","0.03427","0.03645","0.03676","0.03410","44.35M","-5.98%"
"Aug 27, 2019","0.03645","0.03797","0.03813","0.03618","42.08M","-4.05%"
"Aug 26, 2019","0.03799","0.03700","0.03835","0.03681","38.84M","2.69%"
"Aug 25, 2019","0.03699","0.03894","0.04014","0.03625","47.32M","-5.00%"
"Aug 24, 2019","0.03894","0.03708","0.04026","0.03708","47.39M","5.02%"
"Aug 23, 2019","0.03708","0.03676","0.03741","0.03599","47.12M","0.86%"
"Aug 22, 2019","0.03676","0.03626","0.03744","0.03503","42.93M","1.38%"
"Aug 21, 2019","0.03626","0.03607","0.03680","0.03398","49.09M","0.47%"
"Aug 20, 2019","0.03609","0.03680","0.03685","0.03551","41.27M","-1.93%"
"Aug 19, 2019","0.03680","0.03631","0.03697","0.03608","40.72M","1.35%"
"Aug 18, 2019","0.03631","0.03628","0.03686","0.03554","46.53M","0.07%"
"Aug 17, 2019","0.03628","0.03616","0.03683","0.03520","47.32M","0.34%"
"Aug 16, 2019","0.03616","0.03728","0.03732","0.03480","51.82M","-3.01%"
"Aug 15, 2019","0.03728","0.03515","0.03753","0.03485","57.85M","6.04%"
"Aug 14, 2019","0.03515","0.03930","0.04314","0.03510","53.58M","-10.56%"
"Aug 13, 2019","0.03930","0.04066","0.04074","0.03825","42.26M","-3.33%"
